Keyword,Job Title,Company,Date Posted,Salary,Experience,Skills,Description
Software Engineer,Software Engineer,"Jazz, Islamabad , Pakistan","Aug 25, 2025",,3 Years,"MySQL, Backend Development, API Development, Restful APIs, Windows Server Administration, Nagios, AWS, Linux Administration, Communication Skills, Performance Tuning, ELK Stack, Google Cloud, Zabbix, Datadog, Node.js, Problem-Solving, Azure, Time Management, Debugging, DevOps collaboration, Angular (preferred), React (preferred), Cloud Environments, Flutter (preferred), AI-driven monitoring (preferred), Automated testing (preferred), DevSecOps (preferred)",Jazz is looking for a skilled Software Engineer (Development & Support) to join their team in Islamabad. This role focuses on both developin..
Software Engineer,Software Engineer,"Lloyds Technology Centre, All Cities , Pakistan","Aug 12, 2025",,2 Years,"Change Management, Communication Skills, Analytical Skills, Team Collaboration, Data Management Systems, Knowledge Management Systems, Risk Management Principles, Software Engineering, Supplier management processes, Designing test procedures, Coaching and support, Supervision of junior team members","The Software Engineer will join a collaborative team focused on designing, developing, and maintaining software applications. This role prov.."
Software Engineer,Software Support Engineer,"MD. SHAHIDULLAH, Lahore , Pakistan","Aug 31, 2025",25K - 60K,Less than 1 Year,"HTML5, CSS3, Java Script",We are seeking a detail-oriented and customer-focused Software Support Specialist to join our team. The ideal candidate will be responsible ..
Software Engineer,Associate Software Engineer,"SoftOrbix, Lahore , Pakistan","Aug 25, 2025",,Fresh,"Django, HTML, Selenium, Cloud, Server","We’re looking for a motivated Associate Software Engineer to join our talented onsite team. You’ll work closely with experienced developers,.."
Software Engineer,Senior Software Engineer,"RGX LABS, Lahore , Pakistan","Aug 25, 2025",300K - 350K,4 Years,"MySQL, Java Script, React Js, React Native",Key Requirements:4+ years of professional experience with JavaScript3+ years of hands-on experience with React.jsStrong SQL skills and exper..
Software Engineer,Senior Software Engineer,"Lloyds Technology Centre, All Cities , Pakistan","Aug 30, 2025",,2 Years,"Change Management, Knowledge Management, PRODUCT SPECIFICATIONS, Software Development Processes, Agile Delivery, Risk Management, Team Management, testing standards, Technical Delivery, Problem Analysis, Leadership, Software Engineering, IT security principles","We are looking for a Software Engineer to lead technical development and delivery at the team level, and occasionally at the lab level. This.."
Software Engineer,Senior Software Engineer – Code Review,"Space Cats, All Cities , Pakistan","Aug 27, 2025",,5 Years,"Executing Content, HTTPS Conflict, React Js, Node Js, RESTful Api","We are lookout for a Senior Code Reviewer who excels in PHP and JavaScript-based projects. If you're a stickler for clean, maintainable, and.."
Software Engineer,AI Software Engineer,"Computerized AI, Islamabad , Pakistan","Aug 20, 2025",60K - 80K,1 Year,"MySQL, APIs, React, Node","What You’ll DoBuild interactive, scalable, and responsive web applications using React.jsIntegrate RESTful APIs, sockets, and develop pixel-.."
Software Engineer,Associate Software Engineer,"Dubizzle Labs, Lahore , Pakistan","Aug 22, 2025",,2 Years,"Object-oriented programming, MVC Frameworks, Web Architecture, Database Fundamentals, JavaScript","Dubizzle Labs is expanding its engineering team in Pakistan, currently comprising over 300 professionals, and is looking for passionate indi.."
Registered Nurse,,,,,,,
Registered Nurse,,,,,,,
Registered Nurse,,,,,,,
Registered Nurse,,,,,,,
Registered Nurse,,,,,,,
Registered Nurse,Registered Nurse / Nursing Staff,"Human Healthcare, Karachi , Pakistan","Sep 01, 2025",60K - 100K,Less than 1 Year,"Communication Skills, Coordination Skills, Mobile EMR Apps, WhatsApp For Updates",You serve clients all over Karachi at their home. You work with a well-rounded care team and together we go to patient's door step. We are s..
Registered Nurse,Registered Nurse / Nursing Staff,"Human Healthcare, Karachi , Pakistan","Sep 02, 2025",60K - 100K,Less than 1 Year,"Team Building, Patient Counseling, Communication Skills, Computer Technologies Knowledge, Greeting Patients, Committed to Professionalism, Direct Patient Care, EMR Training, Patient Communication Skills","We are seeking high-performing, professional male and female nurses in Karachi to join our elite concierge care team. You will deliver home-.."
Registered Nurse,Registered Nurse,"Confidential, Islamabad , Pakistan","Aug 05, 2025",,1 Year,"Patient Counseling, Communication Skills, Analytical Skills, Time Management, Floor Management, Critical Incident Stress Management, Quality Patient Care, Emerging Infectious Diseases, Coordination Skills",Perform Vitals Eye Testing Blood Sample collection Vaccination
Registered Nurse,Registered Nurse (RN) - Cath Lab,"Patel Hospital, Karachi , Pakistan","Aug 10, 2025",,2 Years,"Documentation, Clinical Assessment, Medication Administration, Patient Education, Cardiac Care, Cardiac Monitoring, Communication, Collaboration with healthcare professionals, cardiac catheterization procedures, patient sedation management, operating intra-aortic balloon pumps, handling physiological recorders and printers",A Cath Lab Registered Nurse (RN) plays a crucial role in delivering specialized cardiac care to patients undergoing catheterization procedur..
Registered Nurse,Staff Nurse,"Chiniot General Hospital, All Cities , Pakistan","Aug 24, 2025",,2 Years,"Collaboration, Infection Control, Nursing Care, Medication Administration, Patient Education, Patient Monitoring, Interpersonal Skills, Communication, Patient Record Keeping, Registered Nurse (RN) license",We are looking for a dedicated Registered Nurse with 1-2 years of clinical experience to join our healthcare team on a full-time basis. The ..
Registered Nurse,,,,,,,
Registered Nurse,,,,,,,
Registered Nurse,,,,,,,
Registered Nurse,,,,,,,
Registered Nurse,,,,,,,
Registered Nurse,Registered Nurse / Nursing Staff,"Human Healthcare, Karachi , Pakistan","Sep 01, 2025",60K - 100K,Less than 1 Year,"Communication Skills, Coordination Skills, Mobile EMR Apps, WhatsApp For Updates",You serve clients all over Karachi at their home. You work with a well-rounded care team and together we go to patient's door step. We are s..
Registered Nurse,Registered Nurse / Nursing Staff,"Human Healthcare, Karachi , Pakistan","Sep 02, 2025",60K - 100K,Less than 1 Year,"Team Building, Patient Counseling, Communication Skills, Computer Technologies Knowledge, Greeting Patients, Committed to Professionalism, Direct Patient Care, EMR Training, Patient Communication Skills","We are seeking high-performing, professional male and female nurses in Karachi to join our elite concierge care team. You will deliver home-.."
Registered Nurse,Registered Nurse,"Confidential, Islamabad , Pakistan","Aug 05, 2025",,1 Year,"Patient Counseling, Communication Skills, Analytical Skills, Time Management, Floor Management, Critical Incident Stress Management, Quality Patient Care, Emerging Infectious Diseases, Coordination Skills",Perform Vitals Eye Testing Blood Sample collection Vaccination
Registered Nurse,Registered Nurse (RN) - Cath Lab,"Patel Hospital, Karachi , Pakistan","Aug 10, 2025",,2 Years,"Documentation, Clinical Assessment, Medication Administration, Patient Education, Cardiac Care, Cardiac Monitoring, Communication, Collaboration with healthcare professionals, cardiac catheterization procedures, patient sedation management, operating intra-aortic balloon pumps, handling physiological recorders and printers",A Cath Lab Registered Nurse (RN) plays a crucial role in delivering specialized cardiac care to patients undergoing catheterization procedur..
Registered Nurse,Staff Nurse,"Chiniot General Hospital, All Cities , Pakistan","Aug 24, 2025",,2 Years,"Collaboration, Infection Control, Nursing Care, Medication Administration, Patient Education, Patient Monitoring, Interpersonal Skills, Communication, Patient Record Keeping, Registered Nurse (RN) license",We are looking for a dedicated Registered Nurse with 1-2 years of clinical experience to join our healthcare team on a full-time basis. The ..
Marketing Manager,,,,,,,
Marketing Manager,,,,,,,
Marketing Manager,,,,,,,
Marketing Manager,,,,,,,
Marketing Manager,,,,,,,
Marketing Manager,Marketing Manager,"Elegance Fabrics, Lahore , Pakistan","Aug 31, 2025",30K - 60K,3 Years,"Presentation Skills, Brand Management, Marketing Management",Sales DevelopmentTeam Leading SkillsDecion MakingCommunication SkillSales and Recovery AnylsisReporting
Marketing Manager,Marketing Manager,"Advance Visa Solution Pvt Ltd, Lahore , Pakistan","Aug 12, 2025",60K - 200K,1 Year,"Presentation Skills, Brand Management, Marketing Management, Brand Advertising, Vendor Relations Management",We are looking for the services of a Marketing ManagerRelevant candidates are encouraged to apply.
Marketing Manager,Area Sales / Marketing Manager,"Kangaroo Publications, Lahore , Pakistan","Sep 02, 2025",35K - 50K,1 Year,"Communication Skills, After Sales Service, Books Marketing",We are looking for the services of Area Sales / Marketing ManagerRelevant candidates are encouraged to apply.
Marketing Manager,Marketing Manager / Paid Ads Strategist,"Team Ficient SMC Private Limited, All Cities , Pakistan","Sep 04, 2025",,3 Years,"Marketing Strategies, Google Ads Planning, Content Writing Skills",We are looking for a self-motivated and skilled Marketing Manager / Paid Ads Strategist to scale our businesses (Teamficient and sister comp..
Marketing Manager,Assistant Marketing Manager,"Professional Employers (Pvt) Ltd, Lahore , Pakistan","Sep 03, 2025",,4 Years,"Event Marketing Strategies, Presentation Skills, Brand Management, Marketing Management, Marketing Email Writing, Brand Advertising, Vendor Relations Management","Job Responsibilities:Manage relationships with vendors, including contract negotiation and performance oversight.Conduct market research to .."
Marketing Manager,Marketing Manager,"SeekSol, Gujranwala , Pakistan","Aug 18, 2025",60K - 100K,3 Years,"B2B Business Development, Marketing Management, Marketing Strategies, Business Development Process",We are looking for the services of Marketing ManagerRelevant candidates are encouraged to apply.
Marketing Manager,Marketing Manager,"Sachi Chakki Khidmat, Lahore , Pakistan","Aug 28, 2025",,2 Years,"eCommerce  Knowledge, Retail Branding, Social Media Strategy",We require a candidate to formulate and execute our expansion plans. The candidate should have experience in digital marketing as well as ph..
Marketing Manager,Marketing Manager ( LinkedIn Marketing & Digital Marketing ),"MEETING MATTERS CLINIC, All Cities , Pakistan","Aug 22, 2025",60K - 60K,2 Years,"Marketing Management, Campaign Development, Copywriting, Analytics, Deadline Management, LinkedIn Marketing, Brand Visibility, Paid Advertising, Digital Marketing, Lead Generation, Communication, Content Creation, data-driven insights, Strategic Planning",We are looking for a dedicated and results-driven Marketing Manager with strong expertise in digital marketing and LinkedIn strategy. This r..
Marketing Manager,Marketing Manager,"Linkspace Digital Marketing, Islamabad , Pakistan","Aug 17, 2025",,Fresh,"Fluent in English, Convincing People, Must Be Follow-up",We are offering attractive salary + commissionOffice timings 11 am till 7 pm from monday to Saturday
Marketing Manager,Marketing Manager,"Revival International School System, Islamabad , Pakistan","Aug 18, 2025",30K - 30K,2 Years,"Marketing Strategy Development, Team Collaboration, Market Trend Analysis, Traditional Marketing, Digital Marketing, Interpersonal Skills, Communication, Campaign coordination",Revival International School System PWD Campus is looking to hire a Marketing Manager with at least two years of experience in reputable edu..
Marketing Manager,Marketing Manager,"Multynet, All Cities , Pakistan","Aug 13, 2025",,2 Years,"Marketing Strategies, Cross-functional Team Coordination, Digital Marketing Campaigns, Market Research, marketing performance analysis, Production of marketing materials","This full-time, on-site position based in Lahore District seeks a Marketing Manager to lead and execute comprehensive marketing initiatives..."
Marketing Manager,Marketing Manager,"Australian Concept Infertility Medical Center, Lahore , Pakistan","Aug 17, 2025",90K - 90K,2 Years,"Relationship Building, Marketing Strategies, Communication Skills, Content Management Systems, Analytics Tools, Creativity, Organizational Skills, Time Management, Digital Marketing Platforms, Healthcare or Pharmaceutical marketing",Australian Concept Infertility Medical Center is looking for a skilled and motivated Marketing Manager to join our team in Lahore. The ideal..
Marketing Manager,Marketing Manager,"Manufacturing Industry Sector, Karachi , Pakistan","Aug 06, 2025",,3 Years,"Coordination Abilities, Brand Management, Email Campaigns, Content Strategy, LinkedIn Ads, Traditional Marketing, Search Console, Google Ads, Digital Marketing, Social Media Marketing, Marketing ROI analysis, Paid Media Strategies, Meta Business Suite, SEO, Time Management, communication skills in English and Urdu, CRM Platforms, Marketing Automation, Google Analytics, Multi-channel Campaigns, Customer success stories",We are seeking a results-driven Marketing Manager based in Karachi with a solid background in both traditional and digital marketing. The id..
Marketing Manager,Digital Marketing Manager,"Farm On recruitment, All Cities , Pakistan","Aug 25, 2025",,2 Years,"Marketing Strategies, Web Analytics, Brand Awareness, Social Media Marketing Campaigns, Lead Generation, Digital Marketing Strategies, engagement driving",We are seeking a dedicated Digital Marketing Manager to join our team in a full-time remote capacity. This role involves developing and impl..
